condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,lam
C6,centrality,impact_weighted,1,False,135,15,48,True,2,48,0.041666666666666664,,,10.0
C6,centrality,impact_weighted,2,False,194,14,21,True,1,50,0.02,,,10.0
C6,centrality,impact_weighted,3,False,285,38,22,True,1,50,0.02,,,10.0
C6,centrality,impact_weighted,4,False,250,40,22,True,0,54,0.0,,,10.0
C6,centrality,impact_weighted,5,False,156,15,21,True,0,51,0.0,,,10.0
C6,centrality,impact_weighted,6,False,281,44,20,True,0,46,0.0,,,10.0
C6,centrality,impact_weighted,7,False,201,38,60,False,1,60,0.016666666666666666,,,10.0
C6,centrality,impact_weighted,8,False,366,27,57,True,2,56,0.03571428571428571,,,10.0
C6,centrality,impact_weighted,9,False,283,49,19,True,1,38,0.02631578947368421,,,10.0
C6,centrality,impact_weighted,10,False,256,25,58,True,1,56,0.017857142857142856,,,10.0
C6,centrality,impact_weighted,11,False,187,19,21,True,1,58,0.017241379310344827,,,10.0
C6,centrality,impact_weighted,12,False,259,40,58,True,0,49,0.0,,,10.0
C6,centrality,impact_weighted,13,False,221,26,23,True,0,45,0.0,,,10.0
C6,centrality,impact_weighted,14,False,241,24,33,True,3,49,0.061224489795918366,,,10.0
C6,centrality,impact_weighted,15,False,187,40,20,True,0,54,0.0,,,10.0
C6,centrality,impact_weighted,16,False,324,42,22,True,4,54,0.07407407407407407,,,10.0
C6,centrality,impact_weighted,17,False,162,16,21,True,0,58,0.0,,,10.0
C6,centrality,impact_weighted,18,False,175,16,54,True,2,54,0.037037037037037035,,,10.0
C6,centrality,impact_weighted,19,False,327,34,23,True,0,43,0.0,,,10.0
C6,centrality,impact_weighted,20,False,186,19,20,True,0,46,0.0,,,10.0
C6,centrality,impact_weighted,21,False,343,44,25,True,0,48,0.0,,,10.0
C6,centrality,impact_weighted,22,False,250,30,20,True,2,41,0.04878048780487805,,,10.0
C6,centrality,impact_weighted,23,False,201,23,19,True,0,47,0.0,,,10.0
C6,centrality,impact_weighted,24,False,174,19,20,True,3,51,0.058823529411764705,,,10.0
C6,centrality,impact_weighted,25,False,186,30,20,True,0,46,0.0,,,10.0
C6,centrality,impact_weighted,26,False,249,44,21,True,0,58,0.0,,,10.0
